               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.033227,            0.011788,            0.013542,             0.81128,             0.84183,             0.89133,             0.52423,            0.033075,            0.007351,            0.012646,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03627,            0.011714,            0.013866,             0.81798,             0.87977,             0.89881,             0.53416,            0.030704,           0.0073381,            0.012213,           0.0082774,           0.0082774,           0.0082774
                  89,            0.034786,            0.011196,            0.012714,               0.823,             0.89158,             0.91668,              0.5153,            0.031728,           0.0073276,            0.012001,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035948,            0.011173,            0.012926,             0.79935,             0.89186,             0.91081,             0.51871,            0.033918,           0.0072583,            0.012196,           0.0082378,           0.0082378,           0.0082378
                  91,            0.035182,            0.011472,            0.012861,             0.83736,             0.84005,             0.89416,             0.51457,            0.033974,           0.0072011,            0.011986,            0.008218,            0.008218,            0.008218
                  92,            0.036595,            0.011314,            0.011668,             0.81349,             0.84253,             0.88495,             0.51559,            0.032778,           0.0073268,            0.011959,           0.0081982,           0.0081982,           0.0081982
                  93,            0.035933,           0.0099597,            0.011928,             0.84501,             0.89186,             0.89815,              0.4955,            0.033982,           0.0072213,            0.013052,           0.0081784,           0.0081784,           0.0081784
                  94,            0.038653,            0.010991,            0.012289,             0.81642,             0.91312,             0.90237,             0.54423,            0.033059,           0.0071786,            0.013369,           0.0081586,           0.0081586,           0.0081586
                  95,            0.037022,            0.011731,            0.011804,             0.84156,             0.91786,             0.93045,             0.55401,            0.032539,           0.0072382,            0.011021,           0.0081388,           0.0081388,           0.0081388
                  96,            0.036338,             0.01049,            0.011855,             0.80645,             0.92102,             0.92237,             0.48663,            0.034744,           0.0073155,            0.011377,            0.008119,            0.008119,            0.008119
                  97,            0.035116,            0.011148,             0.01053,             0.84026,             0.90707,             0.92821,             0.52209,            0.033814,           0.0072253,            0.010971,           0.0080992,           0.0080992,           0.0080992
                  98,             0.03644,            0.011838,            0.012133,             0.83918,             0.91068,              0.9185,             0.50492,            0.033395,           0.0071681,            0.010805,           0.0080794,           0.0080794,           0.0080794
                  99,            0.034297,            0.010371,            0.011296,             0.88016,             0.89509,             0.93745,             0.56236,            0.029298,           0.0071125,            0.010366,           0.0080596,           0.0080596,           0.0080596
                 100,            0.034444,            0.011266,            0.011396,             0.89605,             0.90839,             0.94581,             0.55948,            0.029096,           0.0071705,            0.010069,           0.0080398,           0.0080398,           0.0080398
                 101,            0.034435,            0.011324,            0.011155,             0.82697,             0.89571,              0.9301,             0.57665,            0.031729,           0.0071246,            0.010822,             0.00802,             0.00802,             0.00802
                 102,            0.034058,            0.010671,            0.010337,             0.90489,              0.9267,             0.94408,             0.56782,            0.030609,           0.0070891,            0.010483,           0.0080002,           0.0080002,           0.0080002
                 103,             0.03515,            0.011304,            0.011256,             0.92726,              0.9227,             0.95571,             0.55887,            0.029453,            0.007044,           0.0095215,           0.0079804,           0.0079804,           0.0079804
